206. 反转链表15	 两个递归参数
160. 相交链表8	 跑完再跑一遍
236. 二叉树的最近公共祖先	1	https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-tree
1. 两数之和	1	
75. 颜色分类	1	
207. 课程表	1	https://leetcode-cn.com/problems/course-schedule
64. 最小路径和	1	dp
1156. 单字符重复子串的最大长度	1	https://leetcode-cn.com/problems/swap-for-longest-repeated-character-substring
剑指 Offer 43. 1～n整数中1出现的次数	1	硬算
14. 最长公共前缀	1	
面试题 16.06. 最小差	1	https://leetcode-cn.com/problems/smallest-difference-lcci
1493. 删掉一个元素以后全为 1 的最长子数组	1	遍历所有的0，看他左右各有多少个1
剑指 Offer 09. 用两个栈实现队列	1	
1027. 最长等差数列	1	dp
1464. 数组中两元素的最大乘积	1	
235. 二叉搜索树的最近公共祖先	1	https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-search-tree
204. 计数质数	1	判断n是不是质数，从2开始，到根号n，取模，是否为0
83. 删除排序链表中的重复元素	1	不删除本身，就无需用到while循环
958. 二叉树的完全性检验	1	新建一个带标记的树节点。层次遍历，插入到list里面。 if(list.get(list.size()-1).mark==list.size()-1) 
312. 戳气球	1	排序，重叠区间的个数。闭区间
剑指 Offer 25. 合并两个排序的链表	1	
9. 回文数	1	
25. K 个一组翻转链表	1	提前列好要用的变量
199. 二叉树的右视图	1	//就是二叉树的层次遍历啊，取每层最右边的就行
240. 搜索二维矩阵 II	1	从右上角开始，每次可淘汰一行
1312. 让字符串成为回文串的最少插入次数	1	https://leetcode-cn.com/problems/minimum-insertion-steps-to-make-a-string-palindrome
6. Z 字形变换	1	遍历字符串的时候，一旦到了首行或者末行，通过一个boolean b改变方向（b=!b），为true行数增加，否则减小。可以用ArrayList[]数组做这件事情，下标表示第几行。
189. 旋转数组	1	
19. 删除链表的倒数第N个节点	1	
53. 最大子序和	1	
232. 用栈实现队列	1	
572. 另一个树的子树	1	https://leetcode-cn.com/problems/subtree-of-another-tree
704. 二分查找	1	left=mid+1...right=mid-1...
238. 除自身以外数组的乘积	1	简历两个数组，分别记录每个元素左边的乘积和右边的乘积。注意：一个从左往右赋值，一个从右往左赋值，初始位置置为1
剑指 Offer 42. 连续子数组的最大和	1	dp
138. 复制带随机指针的链表	1	就采用一个空间换时间的方法：用HashMap存放原链表，key为节点，value为位置（0开始）；用ArrayList存放新链表。
剑指 Offer 32 - III. 从上到下打印二叉树 III	1	层次遍历
129. 求根到叶子节点数字之和	1	
101. 对称二叉树	1	left.left与right.right
540. 有序数组中的单一元素	1	二分法，保证区间是奇数宽度
剑指 Offer 12. 矩阵中的路径	1	深度优先搜索，judge的同时使用标记数组进行标记
208. 实现 Trie (前缀树)	1	https://leetcode-cn.com/problems/implement-trie-prefix-tree
剑指 Offer 40. 最小的k个数	1	堆排序、快排getIndex
40. 组合总和 II	1	backtracking********************
